epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2354,1.44231,1.22499,1.34851,0.7812,0.81265,0.8527,0.54196,1.30002,1.11907,1.26468,0.000659864,0.000659864,0.000659864
2,121.668,1.23623,0.92088,1.19844,0.81444,0.84981,0.8945,0.57387,1.22259,1.28924,1.23061,0.0013134,0.0013134,0.0013134
3,181.285,1.24868,0.92102,1.21734,0.79181,0.79104,0.86092,0.54115,1.30196,1.27777,1.3634,0.00195373,0.00195373,0.00195373
4,239.267,1.20526,0.85218,1.19951,0.81729,0.86101,0.89869,0.5916,1.23033,0.84323,1.25304,0.0019406,0.0019406,0.0019406
5,297.175,1.15071,0.82764,1.1695,0.7898,0.86927,0.87257,0.60869,1.09681,0.81086,1.15736,0.0019208,0.0019208,0.0019208
6,355.253,1.12084,0.78771,1.16131,0.82163,0.84608,0.90398,0.62196,1.13976,0.83423,1.21638,0.001901,0.001901,0.001901
7,413.112,1.10879,0.77429,1.15177,0.80765,0.87345,0.90697,0.63849,1.07557,0.82731,1.1552,0.0018812,0.0018812,0.0018812
8,479.001,1.0923,0.74344,1.13236,0.82768,0.88266,0.90544,0.63927,1.05822,0.72678,1.20932,0.0018614,0.0018614,0.0018614
9,543.374,1.07559,0.72865,1.12553,0.83187,0.84923,0.91291,0.56784,1.32693,0.78149,1.29669,0.0018416,0.0018416,0.0018416
10,603.015,1.04203,0.70097,1.11796,0.85771,0.82659,0.90897,0.64553,1.07967,0.71311,1.18013,0.0018218,0.0018218,0.0018218
11,660.936,1.01943,0.68919,1.10793,0.84815,0.8694,0.92529,0.67487,1.00931,0.69004,1.13557,0.001802,0.001802,0.001802
12,718.821,1.0057,0.687,1.10789,0.80072,0.85457,0.89793,0.63402,1.08785,0.7218,1.21548,0.0017822,0.0017822,0.0017822
13,776.978,1.00551,0.67214,1.10182,0.82234,0.87687,0.92116,0.65005,1.08736,0.74125,1.19981,0.0017624,0.0017624,0.0017624
14,835.434,0.98692,0.66102,1.0955,0.8436,0.86041,0.92185,0.6833,1.0153,0.66443,1.18917,0.0017426,0.0017426,0.0017426
15,895.01,0.98151,0.64962,1.0932,0.84844,0.85638,0.92795,0.68524,1.00317,0.65913,1.15372,0.0017228,0.0017228,0.0017228
16,952.744,0.96635,0.63341,1.08013,0.82936,0.88899,0.92324,0.67512,1.03028,0.64207,1.18643,0.001703,0.001703,0.001703
17,1011.45,0.96075,0.62981,1.08491,0.86149,0.84142,0.92243,0.67778,1.01452,0.65467,1.1785,0.0016832,0.0016832,0.0016832
18,1088.03,0.94298,0.62032,1.07379,0.85751,0.85332,0.91483,0.67506,1.00019,0.64319,1.15149,0.0016634,0.0016634,0.0016634
19,1147.46,0.93999,0.60854,1.06929,0.8427,0.88899,0.92815,0.68919,0.99284,0.64267,1.15732,0.0016436,0.0016436,0.0016436
20,1208.07,0.90488,0.59418,1.0556,0.84599,0.88806,0.93138,0.69922,0.94916,0.62346,1.12305,0.0016238,0.0016238,0.0016238
21,1267.25,0.9172,0.59703,1.06778,0.85692,0.84981,0.92626,0.67136,0.99484,0.64251,1.18746,0.001604,0.001604,0.001604
22,1325.04,0.90321,0.58447,1.05747,0.81899,0.89179,0.91097,0.66846,1.01943,0.65402,1.18089,0.0015842,0.0015842,0.0015842
23,1382.3,0.89065,0.57908,1.04413,0.87347,0.83715,0.92768,0.70244,0.96384,0.63275,1.12995,0.0015644,0.0015644,0.0015644
24,1440.75,0.88927,0.56487,1.04926,0.86204,0.86852,0.92497,0.69307,0.94682,0.63341,1.13826,0.0015446,0.0015446,0.0015446
25,1499.36,0.86313,0.56078,1.03812,0.85757,0.8425,0.90864,0.66711,1.00658,0.65675,1.19431,0.0015248,0.0015248,0.0015248
